 ,Label,Mean,X,Y
1,C2-1-BeWo NS- DMSO-1-2-20x.tif,2359.333,1370.398,17.340
2,C2-1-BeWo NS- DMSO-1-2-20x.tif,701.888,502.693,105.412
3,C2-1-BeWo NS- DMSO-1-2-20x.tif,1747.977,1252.711,123.240
4,C2-1-BeWo NS- DMSO-1-2-20x.tif,3316.273,1539.507,133.736
5,C2-1-BeWo NS- DMSO-1-2-20x.tif,1258.235,2830.682,133.942
6,C2-1-BeWo NS- DMSO-1-2-20x.tif,2139.883,1681.637,160.659
7,C2-1-BeWo NS- DMSO-1-2-20x.tif,823.755,395.382,184.208
8,C2-1-BeWo NS- DMSO-1-2-20x.tif,3334.021,1110.313,209.386
9,C2-1-BeWo NS- DMSO-1-2-20x.tif,1890.773,1236.885,216.023
10,C2-1-BeWo NS- DMSO-1-2-20x.tif,2765.817,2293.336,215.769
11,C2-1-BeWo NS- DMSO-1-2-20x.tif,1256.908,2540.038,229.010
12,C2-1-BeWo NS- DMSO-1-2-20x.tif,614.547,2108.244,241.188
13,C2-1-BeWo NS- DMSO-1-2-20x.tif,1445.275,2644.021,243.715
14,C2-1-BeWo NS- DMSO-1-2-20x.tif,1173.013,2316.590,290.763
15,C2-1-BeWo NS- DMSO-1-2-20x.tif,1209.056,634.963,296.380
16,C2-1-BeWo NS- DMSO-1-2-20x.tif,776.123,2014.081,308.419
17,C2-1-BeWo NS- DMSO-1-2-20x.tif,166.871,296.813,307.790
18,C2-1-BeWo NS- DMSO-1-2-20x.tif,1363.404,641.705,306.985
19,C2-1-BeWo NS- DMSO-1-2-20x.tif,1321.617,677.414,329.875
20,C2-1-BeWo NS- DMSO-1-2-20x.tif,321.769,2042.991,337.457
21,C2-1-BeWo NS- DMSO-1-2-20x.tif,1277.461,2259.124,345.132
22,C2-1-BeWo NS- DMSO-1-2-20x.tif,719.079,567.820,391.729
23,C2-1-BeWo NS- DMSO-1-2-20x.tif,508.323,1195.424,392.788
24,C2-1-BeWo NS- DMSO-1-2-20x.tif,945.174,530.130,403.397
25,C2-1-BeWo NS- DMSO-1-2-20x.tif,610.876,1939.926,422.596
26,C2-1-BeWo NS- DMSO-1-2-20x.tif,539.252,1967.913,428.202
27,C2-1-BeWo NS- DMSO-1-2-20x.tif,554.289,271.973,451.737
28,C2-1-BeWo NS- DMSO-1-2-20x.tif,1208.561,1895.585,485.877
29,C2-1-BeWo NS- DMSO-1-2-20x.tif,190.167,1919.389,515.246
30,C2-1-BeWo NS- DMSO-1-2-20x.tif,587.765,1940.999,510.687
31,C2-1-BeWo NS- DMSO-1-2-20x.tif,117.791,1900.080,518.747
32,C2-1-BeWo NS- DMSO-1-2-20x.tif,233.020,2027.607,544.130
33,C2-1-BeWo NS- DMSO-1-2-20x.tif,777.625,1765.756,544.982
34,C2-1-BeWo NS- DMSO-1-2-20x.tif,479.179,483.823,555.189
35,C2-1-BeWo NS- DMSO-1-2-20x.tif,1411.808,1190.298,594.906
36,C2-1-BeWo NS- DMSO-1-2-20x.tif,907.234,1685.206,598.062
37,C2-1-BeWo NS- DMSO-1-2-20x.tif,1634.654,1094.933,645.726
38,C2-1-BeWo NS- DMSO-1-2-20x.tif,1863.930,2728.438,658.983
39,C2-1-BeWo NS- DMSO-1-2-20x.tif,1721.162,2878.016,677.204
40,C2-1-BeWo NS- DMSO-1-2-20x.tif,866.850,938.610,697.183
41,C2-1-BeWo NS- DMSO-1-2-20x.tif,1720.295,2312.658,709.861
42,C2-1-BeWo NS- DMSO-1-2-20x.tif,2010.304,1363.106,717.020
43,C2-1-BeWo NS- DMSO-1-2-20x.tif,521.000,2310.891,717.534
44,C2-1-BeWo NS- DMSO-1-2-20x.tif,228.454,2036.922,746.090
45,C2-1-BeWo NS- DMSO-1-2-20x.tif,334.443,2137.794,747.282
46,C2-1-BeWo NS- DMSO-1-2-20x.tif,893.706,2385.555,824.320
47,C2-1-BeWo NS- DMSO-1-2-20x.tif,983.737,1528.855,836.680
48,C2-1-BeWo NS- DMSO-1-2-20x.tif,1043.949,2613.458,843.665
49,C2-1-BeWo NS- DMSO-1-2-20x.tif,522.173,2370.674,846.760
50,C2-1-BeWo NS- DMSO-1-2-20x.tif,601.232,2402.322,860.492
51,C2-1-BeWo NS- DMSO-1-2-20x.tif,859.654,2492.177,892.824
52,C2-1-BeWo NS- DMSO-1-2-20x.tif,1331.155,1428.151,945.865
53,C2-1-BeWo NS- DMSO-1-2-20x.tif,1517.521,1268.142,973.028
54,C2-1-BeWo NS- DMSO-1-2-20x.tif,1830.293,1041.091,1012.398
55,C2-1-BeWo NS- DMSO-1-2-20x.tif,667.484,734.497,1009.829
56,C2-1-BeWo NS- DMSO-1-2-20x.tif,2032.781,925.451,1036.503
57,C2-1-BeWo NS- DMSO-1-2-20x.tif,1487.248,1465.476,1044.570
58,C2-1-BeWo NS- DMSO-1-2-20x.tif,1687.724,1744.357,1078.948
59,C2-1-BeWo NS- DMSO-1-2-20x.tif,524.138,2316.538,1078.118
60,C2-1-BeWo NS- DMSO-1-2-20x.tif,633.421,1851.440,1104.384
61,C2-1-BeWo NS- DMSO-1-2-20x.tif,2201.477,2862.254,1120.264
62,C2-1-BeWo NS- DMSO-1-2-20x.tif,591.041,2069.526,1138.971
63,C2-1-BeWo NS- DMSO-1-2-20x.tif,1834.034,1654.178,1137.815
64,C2-1-BeWo NS- DMSO-1-2-20x.tif,1073.217,919.742,1153.520
65,C2-1-BeWo NS- DMSO-1-2-20x.tif,716.302,721.217,1163.260
66,C2-1-BeWo NS- DMSO-1-2-20x.tif,1058.589,1575.586,1180.817
67,C2-1-BeWo NS- DMSO-1-2-20x.tif,1044.174,2467.179,1192.173
68,C2-1-BeWo NS- DMSO-1-2-20x.tif,569.773,1951.836,1201.744
69,C2-1-BeWo NS- DMSO-1-2-20x.tif,1370.276,2376.108,1232.088
70,C2-1-BeWo NS- DMSO-1-2-20x.tif,333.693,1962.096,1266.526
71,C2-1-BeWo NS- DMSO-1-2-20x.tif,160.695,1580.090,1264.072
72,C2-1-BeWo NS- DMSO-1-2-20x.tif,603.922,2583.064,1273.727
73,C2-1-BeWo NS- DMSO-1-2-20x.tif,865.612,2361.895,1282.934
74,C2-1-BeWo NS- DMSO-1-2-20x.tif,717.350,1571.862,1287.440
75,C2-1-BeWo NS- DMSO-1-2-20x.tif,435.081,1603.342,1289.076
76,C2-1-BeWo NS- DMSO-1-2-20x.tif,1315.712,2831.084,1286.154
77,C2-1-BeWo NS- DMSO-1-2-20x.tif,1578.814,1471.483,1293.992
78,C2-1-BeWo NS- DMSO-1-2-20x.tif,1518.138,2849.563,1289.963
79,C2-1-BeWo NS- DMSO-1-2-20x.tif,290.149,1915.075,1308.106
80,C2-1-BeWo NS- DMSO-1-2-20x.tif,615.398,1965.267,1308.598
81,C2-1-BeWo NS- DMSO-1-2-20x.tif,295.178,1776.751,1337.609
82,C2-1-BeWo NS- DMSO-1-2-20x.tif,714.171,2609.851,1335.352
83,C2-1-BeWo NS- DMSO-1-2-20x.tif,287.299,1959.290,1351.185
84,C2-1-BeWo NS- DMSO-1-2-20x.tif,375.483,1661.337,1388.468
85,C2-1-BeWo NS- DMSO-1-2-20x.tif,1820.885,1406.279,1386.503
86,C2-1-BeWo NS- DMSO-1-2-20x.tif,668.905,2465.943,1402.227
87,C2-1-BeWo NS- DMSO-1-2-20x.tif,611.362,667.127,1403.269
88,C2-1-BeWo NS- DMSO-1-2-20x.tif,1707.976,1344.131,1476.778
89,C2-1-BeWo NS- DMSO-1-2-20x.tif,2013.304,2953.376,1477.015
90,C2-1-BeWo NS- DMSO-1-2-20x.tif,422.056,1809.930,1490.801
91,C2-1-BeWo NS- DMSO-1-2-20x.tif,2538.158,1362.798,1508.654
92,C2-1-BeWo NS- DMSO-1-2-20x.tif,3168.846,1291.401,1509.463
93,C2-1-BeWo NS- DMSO-1-2-20x.tif,2223.252,1311.902,1511.737
94,C2-1-BeWo NS- DMSO-1-2-20x.tif,787.191,170.047,1516.077
95,C2-1-BeWo NS- DMSO-1-2-20x.tif,126.774,2658.676,1517.216
96,C2-1-BeWo NS- DMSO-1-2-20x.tif,1288.813,1294.189,1522.790
97,C2-1-BeWo NS- DMSO-1-2-20x.tif,2866.601,1393.489,1526.205
98,C2-1-BeWo NS- DMSO-1-2-20x.tif,1121.847,700.383,1526.266
99,C2-1-BeWo NS- DMSO-1-2-20x.tif,489.167,109.911,1528.489
100,C2-1-BeWo NS- DMSO-1-2-20x.tif,2643.387,1306.970,1539.140
101,C2-1-BeWo NS- DMSO-1-2-20x.tif,2989.254,1328.424,1537.477
102,C2-1-BeWo NS- DMSO-1-2-20x.tif,1797.136,935.420,1536.453
103,C2-1-BeWo NS- DMSO-1-2-20x.tif,1592.438,701.354,1544.624
104,C2-1-BeWo NS- DMSO-1-2-20x.tif,1163.091,683.635,1545.860
105,C2-1-BeWo NS- DMSO-1-2-20x.tif,2141.982,2080.025,1552.063
106,C2-1-BeWo NS- DMSO-1-2-20x.tif,2079.760,1347.282,1559.521
107,C2-1-BeWo NS- DMSO-1-2-20x.tif,1820.436,2800.808,1561.474
108,C2-1-BeWo NS- DMSO-1-2-20x.tif,1612.426,2567.353,1589.471
109,C2-1-BeWo NS- DMSO-1-2-20x.tif,1491.790,2077.039,1624.422
110,C2-1-BeWo NS- DMSO-1-2-20x.tif,296.625,1858.337,1652.036
111,C2-1-BeWo NS- DMSO-1-2-20x.tif,2129.964,1262.867,1660.282
112,C2-1-BeWo NS- DMSO-1-2-20x.tif,2129.094,1270.504,1674.512
113,C2-1-BeWo NS- DMSO-1-2-20x.tif,1157.312,689.498,1682.797
114,C2-1-BeWo NS- DMSO-1-2-20x.tif,2593.438,1254.151,1682.385
115,C2-1-BeWo NS- DMSO-1-2-20x.tif,1196.869,1476.627,1683.330
116,C2-1-BeWo NS- DMSO-1-2-20x.tif,666.115,1540.711,1689.789
117,C2-1-BeWo NS- DMSO-1-2-20x.tif,555.117,441.437,1690.280
118,C2-1-BeWo NS- DMSO-1-2-20x.tif,1127.272,1499.119,1695.790
119,C2-1-BeWo NS- DMSO-1-2-20x.tif,663.964,590.313,1707.273
120,C2-1-BeWo NS- DMSO-1-2-20x.tif,2281.138,1462.461,1707.891
121,C2-1-BeWo NS- DMSO-1-2-20x.tif,165.268,2309.148,1711.594
122,C2-1-BeWo NS- DMSO-1-2-20x.tif,182.532,2290.006,1724.087
123,C2-1-BeWo NS- DMSO-1-2-20x.tif,658.529,1884.350,1725.718
124,C2-1-BeWo NS- DMSO-1-2-20x.tif,133.333,2269.625,1722.698
125,C2-1-BeWo NS- DMSO-1-2-20x.tif,867.635,2628.983,1784.680
126,C2-1-BeWo NS- DMSO-1-2-20x.tif,269.011,1730.582,1865.693
127,C2-1-BeWo NS- DMSO-1-2-20x.tif,1121.020,1124.762,1880.966
128,C2-1-BeWo NS- DMSO-1-2-20x.tif,2953.600,2077.935,1887.534
129,C2-1-BeWo NS- DMSO-1-2-20x.tif,2169.338,2056.712,1895.710
130,C2-1-BeWo NS- DMSO-1-2-20x.tif,2639.265,2250.920,1918.867
131,C2-1-BeWo NS- DMSO-1-2-20x.tif,2626.168,2283.145,1923.217
132,C2-1-BeWo NS- DMSO-1-2-20x.tif,1220.481,1973.172,1926.410
133,C2-1-BeWo NS- DMSO-1-2-20x.tif,1608.921,2553.788,1927.208
134,C2-1-BeWo NS- DMSO-1-2-20x.tif,990.695,1989.160,1928.321
135,C2-1-BeWo NS- DMSO-1-2-20x.tif,1383.708,1030.735,1935.803
136,C2-1-BeWo NS- DMSO-1-2-20x.tif,617.820,1220.527,1965.334
137,C2-1-BeWo NS- DMSO-1-2-20x.tif,1298.160,1225.090,1987.911
138,C2-1-BeWo NS- DMSO-1-2-20x.tif,2399.253,1840.148,2008.209
139,C2-1-BeWo NS- DMSO-1-2-20x.tif,2005.438,1255.513,2018.569
140,C2-1-BeWo NS- DMSO-1-2-20x.tif,956.920,2154.734,2021.820
141,C2-1-BeWo NS- DMSO-1-2-20x.tif,958.000,1240.351,2023.118
142,C2-1-BeWo NS- DMSO-1-2-20x.tif,1611.429,2569.749,2081.993
143,C2-1-BeWo NS- DMSO-1-2-20x.tif,2739.265,2101.351,2091.864
144,C2-1-BeWo NS- DMSO-1-2-20x.tif,3367.574,2156.398,2142.681
145,C2-1-BeWo NS- DMSO-1-2-20x.tif,2715.679,2133.019,2145.823
146,C2-1-BeWo NS- DMSO-1-2-20x.tif,2881.506,2122.626,2156.851
147,C2-1-BeWo NS- DMSO-1-2-20x.tif,326.414,126.954,2156.852
148,C2-1-BeWo NS- DMSO-1-2-20x.tif,3132.605,2149.833,2156.879
149,C2-1-BeWo NS- DMSO-1-2-20x.tif,3032.461,2105.156,2157.635
150,C2-1-BeWo NS- DMSO-1-2-20x.tif,2999.803,2244.546,2161.073
151,C2-1-BeWo NS- DMSO-1-2-20x.tif,3121.256,2086.319,2169.176
152,C2-1-BeWo NS- DMSO-1-2-20x.tif,2723.984,2111.623,2173.754
153,C2-1-BeWo NS- DMSO-1-2-20x.tif,3051.197,2150.085,2177.877
154,C2-1-BeWo NS- DMSO-1-2-20x.tif,272.256,94.369,2254.648
155,C2-1-BeWo NS- DMSO-1-2-20x.tif,2033.729,2278.498,2253.852
156,C2-1-BeWo NS- DMSO-1-2-20x.tif,2137.381,2282.982,2267.097
157,C2-1-BeWo NS- DMSO-1-2-20x.tif,2647.983,2275.960,2279.749
158,C2-1-BeWo NS- DMSO-1-2-20x.tif,2597.374,2168.606,2283.668
159,C2-1-BeWo NS- DMSO-1-2-20x.tif,541.588,1678.169,2291.377
160,C2-1-BeWo NS- DMSO-1-2-20x.tif,178.359,1417.933,2292.682
161,C2-1-BeWo NS- DMSO-1-2-20x.tif,2954.678,2148.244,2298.775
162,C2-1-BeWo NS- DMSO-1-2-20x.tif,1073.534,1409.308,2302.828
163,C2-1-BeWo NS- DMSO-1-2-20x.tif,221.762,59.466,2304.963
164,C2-1-BeWo NS- DMSO-1-2-20x.tif,753.990,733.446,2394.026
165,C2-1-BeWo NS- DMSO-1-2-20x.tif,1487.531,1770.489,2414.845
166,C2-1-BeWo NS- DMSO-1-2-20x.tif,372.890,155.579,2435.502
167,C2-1-BeWo NS- DMSO-1-2-20x.tif,1129.065,1133.452,2449.007
168,C2-1-BeWo NS- DMSO-1-2-20x.tif,808.720,1896.926,2448.354
169,C2-1-BeWo NS- DMSO-1-2-20x.tif,393.688,2323.682,2520.388
170,C2-1-BeWo NS- DMSO-1-2-20x.tif,1540.587,1397.869,2522.989
171,C2-1-BeWo NS- DMSO-1-2-20x.tif,1827.658,1623.072,2535.536
172,C2-1-BeWo NS- DMSO-1-2-20x.tif,1068.686,1854.925,2546.714
173,C2-1-BeWo NS- DMSO-1-2-20x.tif,1360.083,1336.986,2584.900
174,C2-1-BeWo NS- DMSO-1-2-20x.tif,2132.622,1678.124,2619.708
175,C2-1-BeWo NS- DMSO-1-2-20x.tif,514.970,442.092,2682.928
176,C2-1-BeWo NS- DMSO-1-2-20x.tif,157.778,758.184,2676.125
177,C2-1-BeWo NS- DMSO-1-2-20x.tif,2635.512,2071.241,2705.135
178,C2-1-BeWo NS- DMSO-1-2-20x.tif,1754.469,1780.539,2715.587
179,C2-1-BeWo NS- DMSO-1-2-20x.tif,2334.163,2062.010,2715.021
180,C2-1-BeWo NS- DMSO-1-2-20x.tif,245.667,2341.071,2715.544
181,C2-1-BeWo NS- DMSO-1-2-20x.tif,1567.800,1786.753,2733.963
182,C2-1-BeWo NS- DMSO-1-2-20x.tif,2518.783,1794.251,2745.469
183,C2-1-BeWo NS- DMSO-1-2-20x.tif,1397.393,1661.786,2755.699
184,C2-1-BeWo NS- DMSO-1-2-20x.tif,507.907,454.814,2761.031
185,C2-1-BeWo NS- DMSO-1-2-20x.tif,1792.912,1722.159,2759.596
186,C2-1-BeWo NS- DMSO-1-2-20x.tif,1728.686,1736.612,2766.905
187,C2-1-BeWo NS- DMSO-1-2-20x.tif,353.804,466.261,2776.563
188,C2-1-BeWo NS- DMSO-1-2-20x.tif,2008.930,1653.470,2773.611
189,C2-1-BeWo NS- DMSO-1-2-20x.tif,2463.318,1941.020,2847.466
190,C2-1-BeWo NS- DMSO-1-2-20x.tif,2545.947,1647.924,2856.176
191,C2-1-BeWo NS- DMSO-1-2-20x.tif,1032.526,903.206,2862.058
192,C2-1-BeWo NS- DMSO-1-2-20x.tif,1276.430,1222.447,2919.893
193,C2-1-BeWo NS- DMSO-1-2-20x.tif,976.830,1214.363,2935.152
194,C2-1-BeWo NS- DMSO-1-2-20x.tif,2268.192,1764.919,2940.258
195,C2-1-BeWo NS- DMSO-1-2-20x.tif,1778.292,1804.783,2948.624
196,C2-1-BeWo NS- DMSO-1-2-20x.tif,1107.432,1754.467,2951.961
197,C2-1-BeWo NS- DMSO-1-2-20x.tif,1847.620,1780.736,2954.689
198,C2-1-BeWo NS- DMSO-1-2-20x.tif,643.628,1749.961,2974.084
199,C2-1-BeWo NS- DMSO-1-2-20x.tif,2129.029,1780.312,2984.103
200,C2-1-BeWo NS- DMSO-1-2-20x.tif,1789.783,1160.100,3004.239
201,C2-1-BeWo NS- DMSO-1-2-20x.tif,1500.933,1695.056,3029.290
